state,county,value
Indiana,Elkhart,0.096
Indiana,Fayette,0.138
Indiana,Floyd,0.097
Indiana,Fountain,0.11
Indiana,Franklin,0.074
Indiana,Fulton,0.176
Indiana,Gibson,0.108
Indiana,Grant,0.127
Indiana,Greene,0.153
Indiana,Hamilton,0.048
Indiana,Hancock,0.082
Indiana,Harrison,0.122
Indiana,Hendricks,0.051
Indiana,Henry,0.149
Indiana,Howard,0.11
Indiana,Huntington,0.087
Indiana,Jackson,0.099
Indiana,Jasper,0.098
Indiana,Jay,0.118
Indiana,Jefferson,0.113
Indiana,Jennings,0.121
Indiana,Johnson,0.085
Indiana,Knox,0.13
Indiana,Kosciusko,0.209
Indiana,LaGrange,0.18
Indiana,Lake,0.127
Indiana,LaPorte,0.117
Indiana,Lawrence,0.118
Indiana,Madison,0.129
Indiana,Marion,0.133
Indiana,Marshall,0.132
Indiana,Martin,0.116
Indiana,Miami,0.143
Indiana,Monroe,0.094
Indiana,Montgomery,0.114
Indiana,Morgan,0.083
Indiana,Newton,0.106
Indiana,Noble,0.102
Indiana,Ohio,0.146
Indiana,Orange,0.162
Indiana,Owen,0.144
Indiana,Parke,0.256
Indiana,Perry,0.145
Indiana,Pike,0.132
Indiana,Porter,0.07
Indiana,Posey,0.106
Indiana,Pulaski,0.142
Indiana,Putnam,0.144
Indiana,Randolph,0.097
Indiana,Ripley,0.096
Indiana,Rush,0.072
Indiana,Scott,0.142
Indiana,Shelby,0.099
Indiana,Spencer,0.107
Indiana,St. Joseph,0.116
Indiana,Starke,0.2
Indiana,Steuben,0.308
Indiana,Sullivan,0.139
Indiana,Switzerland,0.194
Indiana,Tippecanoe,0.074
Indiana,Tipton,0.082
Indiana,Union,0.082
Indiana,Vanderburgh,0.109
Indiana,Vermillion,0.124
Indiana,Vigo,0.13
Indiana,Wabash,0.086
Indiana,Warren,0.1
Indiana,Warrick,0.075
Indiana,Washington,0.135
Indiana,Wayne,0.13
Indiana,Wells,0.073
Indiana,White,0.266
Indiana,Whitley,0.088
Iowa,Adair,0.121
Iowa,Adams,0.138
Iowa,Allamakee,0.207
Iowa,Appanoose,0.169
Iowa,Audubon,0.115
Iowa,Benton,0.084
Iowa,Black Hawk,0.074
Iowa,Boone,0.087
Iowa,Bremer,0.07
Iowa,Buchanan,0.08
Iowa,Buena Vista,0.076
Iowa,Butler,0.075
Iowa,Calhoun,0.164
Iowa,Carroll,0.091
Iowa,Cass,0.073
Iowa,Cedar,0.061
Iowa,Cerro Gordo,0.121
Iowa,Cherokee,0.075
Iowa,Chickasaw,0.061
Iowa,Clarke,0.093
Iowa,Clay,0.114
Iowa,Clayton,0.157
Iowa,Clinton,0.078
Iowa,Crawford,0.09
Iowa,Dallas,0.057
Iowa,Davis,0.117
Iowa,Decatur,0.183
Iowa,Delaware,0.132
Iowa,Des Moines,0.094
Iowa,Dickinson,0.404
Iowa,Dubuque,0.055
Iowa,Emmet,0.13
Iowa,Fayette,0.104
Iowa,Floyd,0.083
Iowa,Franklin,0.125
Iowa,Fremont,0.139
Iowa,Greene,0.135
Iowa,Grundy,0.064
Iowa,Guthrie,0.214
Iowa,Hamilton,0.111
Iowa,Hancock,0.116
Iowa,Hardin,0.148
Iowa,Harrison,0.112
Iowa,Henry,0.076
Iowa,Howard,0.114
Iowa,Humboldt,0.103
Iowa,Ida,0.091
Iowa,Iowa,0.06
Iowa,Jackson,0.106
Iowa,Jasper,0.107
Iowa,Jefferson,0.085
Iowa,Johnson,0.044
Iowa,Jones,0.082
Iowa,Keokuk,0.113
Iowa,Kossuth,0.102
Iowa,Lee,0.111
Iowa,Linn,0.072
Iowa,Louisa,0.141
Iowa,Lucas,0.126
Iowa,Lyon,0.087
Iowa,Madison,0.066
Iowa,Mahaska,0.075
Iowa,Marion,0.072
Iowa,Marshall,0.086
Iowa,Mills,0.112
Iowa,Mitchell,0.11
Iowa,Monona,0.143
Iowa,Monroe,0.146
Iowa,Montgomery,0.115
Iowa,Muscatine,0.09
Iowa,O'Brien,0.095
Iowa,Osceola,0.102
Iowa,Page,0.124
Iowa,Palo Alto,0.137
Iowa,Plymouth,0.059
Iowa,Pocahontas,0.15
Iowa,Polk,0.065
Iowa,Pottawattamie,0.072
Iowa,Poweshiek,0.18
Iowa,Ringgold,0.22
Iowa,Sac,0.185
Iowa,Scott,0.07
Iowa,Shelby,0.088
Iowa,Sioux,0.059
Iowa,Story,0.047
Iowa,Tama,0.123
Iowa,Taylor,0.111
Iowa,Union,0.097
Iowa,Van Buren,0.191
Iowa,Wapello,0.095
Iowa,Warren,0.05
Iowa,Washington,0.062
Iowa,Wayne,0.188
Iowa,Webster,0.109
Iowa,Winnebago,0.116
Iowa,Winneshiek,0.06
Iowa,Woodbury,0.068
Iowa,Worth,0.098
Iowa,Wright,0.156
Kansas,Allen,0.151
Kansas,Anderson,0.116
Kansas,Atchison,0.133
Kansas,Barber,0.29
Kansas,Barton,0.104
Kansas,Bourbon,0.204
Kansas,Brown,0.14
Kansas,Butler,0.078
Kansas,Chase,0.258
Kansas,Chautauqua,0.27
Kansas,Cherokee,0.188
Kansas,Cheyenne,0.156
Kansas,Clark,0.202
Kansas,Clay,0.167
Kansas,Cloud,0.145
Kansas,Coffey,0.108
Kansas,Comanche,0.21
Kansas,Cowley,0.144
