year,county,state,copd_prev,asthma_prev,tobacco_prev,med_income_5y,perc_below_poverty_1y,perc_below_poverty_5y,unemployment_1y,unemployment_5y,num_days_rain,perc_cultivated_land_use,perc_forest_cover,perc_park_proximity,rural_urban,total_pollutants,acetaldehyde,benzene,formaldehyde,apc_percent_diff
2014,Union,NEW MEXICO,9,2,6,36176.0,,0.135198131,,0.041292638,79.0,0.027,0.061,0.36,2.0,5.4,1.38,0.09,0.89,-0.261995638
2014,Macon,GEORGIA,12,5,11,29295.0,,0.29571861,,0.176124886,123.0,0.212,0.43,0.04,2.0,10.6,3.18,0.3,2.4,0.323119777
2014,Henry,ALABAMA,10,6,9,42926.0,,0.148091689,,0.111185536,119.0,0.211,0.447,0.01,1.0,9.7,3.14,0.31,2.35,-0.142537313
2012,Cass,NORTH DAKOTA,8,4,7,51110.0,0.109836638,0.127181545,0.042105153,0.04030437,101.0,0.863,0.008,0.83,1.0,9.0,1.13,0.68,0.98,0.1066961
2012,Yell,ARKANSAS,16,3,11,38245.0,,0.208571687,,0.071885973,102.0,0.016,0.677,0.14,2.0,10.0,3.31,0.33,2.55,-0.109566185
2013,Nacogdoches,TEXAS,15,6,7,36777.0,0.284563661,0.256803423,0.090210199,0.080890499,113.0,0.002,0.392,0.22,2.0,9.5,2.91,0.48,2.44,0.015673981
2012,Coahoma,MISSISSIPPI,10,4,8,25574.0,,0.37402609,,0.175466269,110.0,0.668,0.006,0.28,2.0,10.4,2.81,0.64,2.03,0.040152964
2012,Edgecombe,NORTH CAROLINA,12,5,11,33917.0,,0.239513204,,0.173909768,137.0,0.355,0.291,0.11,1.0,8.9,2.36,0.37,1.72,-0.225550122
2012,Tulsa,OKLAHOMA,10,5,9,47845.0,0.163329154,0.153986633,0.077688798,0.067311361,78.0,0.027,0.184,0.6,1.0,9.7,2.98,0.88,2.42,-0.135041893
2013,Collin,TEXAS,8,5,5,82762.0,0.08178024,0.07801728,0.05230803,0.056751937,79.0,0.172,0.114,0.44,1.0,10.8,2.53,0.5,2.01,0.07202381
2012,Clackamas,OREGON,7,4,6,63951.0,0.08834213,0.096784614,0.090795971,0.096783638,192.0,0.049,0.659,0.44,1.0,9.6,1.59,0.99,1.57,-0.105538922
2014,Pleasants,WEST VIRGINIA,17,5,13,43831.0,,0.166881531,,0.069335938,142.0,0.008,0.812,0.19,2.0,10.1,1.89,0.4,1.4,-0.19025974
2013,Rutherford,NORTH CAROLINA,11,9,12,36334.0,0.261488229,0.215008795,,0.160088971,155.0,0.0,0.635,0.0,2.0,9.8,2.64,0.43,2.01,-0.020625
2014,Ringgold,IOWA,11,2,6,44032.0,,0.164967373,,0.052631579,89.0,0.299,0.116,0.22,2.0,8.9,1.64,0.22,1.13,0.421562689
2013,Wayne,INDIANA,14,4,10,38350.0,0.251275688,0.2175055,0.091978684,0.112980843,132.0,0.59,0.141,0.21,2.0,11.2,1.77,0.76,1.2,-0.092155787
2014,Park,COLORADO,7,3,6,60800.0,,0.082777947,,0.066312723,162.0,0.0,0.395,0.0,1.0,4.8,0.84,0.1,0.45,0.05857295
2013,Hancock,WEST VIRGINIA,15,6,10,38522.0,,0.169134527,,0.099723183,142.0,0.033,0.618,0.05,1.0,11.1,1.65,0.58,1.13,-0.093491736
2012,Yakima,WASHINGTON,9,4,8,44256.0,0.230770499,0.223082021,0.108359218,0.108233824,104.0,0.124,0.332,0.48,1.0,7.5,1.17,0.83,1.16,-0.152202937
2014,Williamsburg,SOUTH CAROLINA,8,4,7,27485.0,,0.2879861,,0.118852139,142.0,0.123,0.3,0.04,2.0,9.1,2.66,0.27,1.9,-0.302436902
2013,Cannon,TENNESSEE,15,3,9,40689.0,,0.177767977,,0.138143361,138.0,0.079,0.551,0.16,1.0,9.4,2.43,0.27,1.71,-0.214367161
2013,Van Buren,IOWA,9,2,5,43181.0,,0.165293723,,0.07923425,103.0,0.321,0.259,0.14,2.0,9.4,1.81,0.24,1.28,0.462794918
2013,Livingston,MICHIGAN,11,4,6,72359.0,0.058672883,0.061550513,0.055150583,0.086597405,144.0,0.165,0.211,0.14,1.0,10.2,1.42,0.57,1.01,-0.089625537
2014,Dawson,MONTANA,9,2,5,49955.0,,0.14636384,,0.021674458,80.0,0.272,0.03,0.49,2.0,6.3,1.03,0.25,0.76,-0.258378378
2012,Accomack,VIRGINIA,12,5,8,40780.0,,0.202290073,,0.069900855,129.0,0.222,0.297,0.03,2.0,8.1,1.54,0.26,1.1,-0.184931507
2012,Martin,KENTUCKY,22,6,15,25340.0,,0.35742411,,0.127770931,162.0,0.007,0.697,0.01,2.0,9.6,2.16,0.4,1.73,0.027876631
